Link khách sạn,Độ sạch sẽ,Sự thoải mái và chất lượng phòng,Dịch vụ,Vị trí,Tiện nghi,Số lượng phòng,Số lượng nhà hàng,Số quán bar,Thang máy,Tiêu chuẩn về an toàn,Bể bơi,Bồn tắm,Ghế Sofa,Phòng xông hơi,Spa,Mát-xa,Phòng tập,Sân golf,Sân quần vợt,Rate Star
https://www.agoda.com/vi-vn/tea-garden-serviced-apartment/hotel/ho-chi-minh-city-vn.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=2&children=0&rooms=1&maxRooms=9&checkIn=2020-11-15&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=da627c54-7c49-40d6-b392-0c6438dd4e03,"7,5",,"6,0","6,0","7,5",32.0,,,,,1,0,1,0,0,0,0,0,0,3.0
https://www.agoda.com/vi-vn/meraki-boutique-hotel/hotel/ho-chi-minh-city-vn.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=2&children=0&rooms=1&maxRooms=9&checkIn=2020-11-15&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=8&los=1&searchrequestid=da627c54-7c49-40d6-b392-0c6438dd4e03,"7,4",,"8,4","8,0","6,9",19.0,1.0,,,1.0,0,0,0,0,0,0,0,0,0,2.5
https://www.agoda.com/vi-vn/sao-mai-896-hotel/hotel/ho-chi-minh-city-vn.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=2&children=0&rooms=1&maxRooms=9&checkIn=2020-11-15&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=da627c54-7c49-40d6-b392-0c6438dd4e03,"6,6",,"7,2","7,0","6,2",25.0,,,,,0,0,0,0,0,0,0,0,0,1.5
https://www.agoda.com/vi-vn/venus-hotel-h9017772/hotel/ho-chi-minh-city-vn.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=2&children=0&rooms=1&maxRooms=9&checkIn=2020-11-15&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=da627c54-7c49-40d6-b392-0c6438dd4e03,"7,8",,"7,7","8,6","8,3",13.0,,,,1.0,0,0,0,0,0,0,0,0,0,1.0
https://www.agoda.com/vi-vn/annam-boutique-hotel/hotel/ho-chi-minh-city-vn.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=2&children=0&rooms=1&maxRooms=9&checkIn=2020-11-15&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=da627c54-7c49-40d6-b392-0c6438dd4e03,,,,,,58.0,,,,,0,0,0,0,0,0,0,0,0,3.0
https://www.agoda.com/vi-vn/anh-duy-hotel/hotel/ho-chi-minh-city-vn.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=2&children=0&rooms=1&maxRooms=9&checkIn=2020-11-15&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9&los=1&searchrequestid=da627c54-7c49-40d6-b392-0c6438dd4e03,"6,8","7,4","7,5","7,7","6,4",32.0,1.0,,1.0,,0,0,0,0,0,0,0,0,0,1.5
https://www.agoda.com/vi-vn/meraki-hotel/hotel/ho-chi-minh-city-vn.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=2&children=0&rooms=1&maxRooms=9&checkIn=2020-11-15&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=28&los=1&searchrequestid=da627c54-7c49-40d6-b392-0c6438dd4e03,"7,5","7,8","8,2","8,5","7,1",21.0,,,1.0,,0,0,0,0,0,0,0,0,0,2.0
https://www.agoda.com/vi-vn/quy-hung-hotel/hotel/ho-chi-minh-city-vn.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=2&children=0&rooms=1&maxRooms=9&checkIn=2020-11-15&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9&los=1&searchrequestid=da627c54-7c49-40d6-b392-0c6438dd4e03,"6,7","6,3","7,3","7,7","6,1",19.0,1.0,,1.0,,0,0,0,0,0,1,0,0,0,2.0
https://www.agoda.com/vi-vn/room-saigon/hotel/ho-chi-minh-city-vn.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=2&children=0&rooms=1&maxRooms=9&checkIn=2020-11-15&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=2&los=1&searchrequestid=da627c54-7c49-40d6-b392-0c6438dd4e03,"7,3",,"7,4","8,5","6,3",30.0,,,1.0,1.0,0,0,0,0,0,0,0,0,0,1.5
https://www.agoda.com/vi-vn/the-one-hotel-ben-thanh/hotel/ho-chi-minh-city-vn.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=2&children=0&rooms=1&maxRooms=9&checkIn=2020-11-15&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=3&los=1&searchrequestid=da627c54-7c49-40d6-b392-0c6438dd4e03,"6,7",,"7,3","7,9","6,2",39.0,,,1.0,1.0,0,0,0,0,0,0,0,0,0,3.0
